candidate_id,rank,score,reasoning
CAND_0008295,1,182.0979,AI Research Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 6.5 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0068932,2,176.3409,ML Engineer. Strong semantic fit (0.62) to retrieval/ranking systems; Ideal 5.2 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0044883,3,169.3058,AI Engineer. Strong semantic fit (0.67) to retrieval/ranking systems; Ideal 6.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0064326,4,169.0692,Search Engineer. Strong semantic fit (0.65) to retrieval/ranking systems; Ideal 7.6 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0035879,5,163.2561,AI Research Engineer. Strong semantic fit (0.65) to retrieval/ranking systems; 4.5 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0043381,6,163.0167,AI Research Engineer. Strong semantic fit (0.67) to retrieval/ranking systems; 3.6 YoE; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0077337,7,160.2602,Staff Machine Learning Engineer. Strong semantic fit (0.55) to retrieval/ranking systems; Ideal 7.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0065195,8,159.3782,Search Engineer. Strong semantic fit (0.69) to retrieval/ranking systems; Ideal 5.1 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0010603,9,158.7574,ML Engineer. Strong semantic fit (0.60) to retrieval/ranking systems; Ideal 5.3 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
CAND_0083852,10,157.3673,Data Scientist. Strong semantic fit (0.59) to retrieval/ranking systems; Ideal 6.0 YoE in applied ML; High Hunt-Mode momentum; Strong open-source/GitHub activity.
